Pressure,Temperature,Density,Enthalpy,Internal Energy,Gibbs Energy,Entropy,Molecular Mass,Specific Heat Capacity,Sound Speed,Viscosity,Thermal Conductivity,Prandtl Number
0.4,6200,0.0164,13000,10600,-67100,12.9,21.1,7.98,1660,1.71,19.7,0.694
0.4,6300,0.0159,13900,11400,-68400,13.1,20.8,9.68,1690,1.74,23.8,0.705
0.4,6400,0.0154,14900,12300,-69800,13.2,20.5,11.5,1710,1.76,28.1,0.72
0.4,6500,0.0149,16200,13500,-71100,13.4,20.1,13.4,1740,1.78,32.2,0.738
0.4,6600,0.0143,17600,14800,-72400,13.6,19.6,15.1,1770,1.8,35.9,0.759
0.4,6700,0.0137,19200,16300,-73800,13.9,19.1,16.6,1810,1.83,38.7,0.782
0.4,6800,0.0132,20900,17900,-75200,14.1,18.6,17.7,1850,1.85,40.6,0.806
0.4,6900,0.0127,22700,19600,-76700,14.4,18.1,18.3,1890,1.87,41.3,0.83
0.4,7000,0.0121,24600,21300,-78100,14.7,17.7,18.4,1930,1.89,40.9,0.852
0.4,7100,0.0117,26400,23000,-79600,14.9,17.2,18,1970,1.91,39.4,0.872
0.4,7200,0.0112,28100,24600,-81100,15.2,16.8,17.2,2010,1.93,37.3,0.889
0.4,7300,0.0108,29800,26100,-82600,15.4,16.4,16,2050,1.95,34.6,0.901
0.4,7400,0.0105,31300,27500,-84200,15.6,16.1,14.6,2090,1.97,31.7,0.908
0.4,7500,0.0102,32700,28800,-85700,15.8,15.8,13.2,2130,1.99,28.8,0.91
